day ,deaths ,smoke ,log(deaths)
1,112,0.3,2.049218023
2,140,0.49,2.146128036
3,143,0.61,2.155336037
4,120,0.49,2.079181246
5,196,2.64,2.292256071
6,294,3.45,2.46834733
7,513,4.46,2.710117365
8,518,4.46,2.71432976
9,430,1.22,2.633468456
10,274,1.22,2.437750563
11,255,0.32,2.40654018
12,236,0.29,2.372912003
13,256,0.5,2.408239965
14,222,0.32,2.346352974
15,213,0.32,2.328379603
